lat,lon,name,short_name
41.738902,-87.695518,Francisco Ave & 85th St,CHI01546
41.979851,-87.681932,Hoyne Ave & Balmoral Ave,CHI00773
41.871262,-87.673688,Wolcott Ave & Polk St,CHI00501
41.80581,-87.6245,Wabash Ave & 49th St,CHI01987
41.8320245,-87.6778387,Hoyne Ave & 34th St,CHI01898
41.842733,-87.635491,Shields Ave & 28th Pl,CHI00514
41.778881,-87.586647,Stony Island Ave & 64th St,CHI00557
41.901315,-87.677409,Damen Ave & Thomas St (Augusta Blvd),CHI00296
41.92463247,-87.68930701,Campbell Ave & Fullerton Ave,CHI00634
41.881859328038225,-87.64926374,Green St & Madison St,CHI00347
41.96835449,-87.71183067,Christiana Ave & Lawrence Ave,CHI00302
41.903119,-87.673935,Honore St & Division St,CHI00269
41.7218499,-87.6228544,State St & 95th St,CHI00748
41.915983,-87.677335,Damen Ave & Cortland St,CHI00388
41.91396,-87.6994,Francisco Ave & Bloomingdale Ave,CHI02086
41.97828,-87.65529,Sheridan Rd & Berwyn Ave,CHI02155
41.65190269,-87.53955539,Avenue O & 134th St,CHI00843
41.88592,-87.66717,Ashland Ave & Lake St,CHI00384
41.92227,-87.80202,Nordica Ave & Medill Ave,CHI01782
41.857556,-87.661535,Blue Island Ave & 18th St,CHI00443
41.87184,-87.64664,Halsted St & Polk St,CHI00359
41.78091096424803,-87.57632375,63rd St Beach,CHI00315
41.78315,-87.72257,Pulaski Rd & 60th Pl,CHI01884
41.76550801,-87.61691793,Calumet Ave & 71st St,CHI00293
41.741486528618054,-87.65841007,Loomis Blvd & 84th St,CHI00875
41.92154,-87.653818,Sheffield Ave & Webster Ave,CHI00507
41.871514,-87.669886,Hermitage Ave & Polk St,CHI00283
41.96788,-87.77274,Menard Ave & Lawrence Ave,CHI01910
41.94335025,-87.67066777,Lincoln Ave & Roscoe St*,CHI01837
41.916907,-87.767173,Parkside Ave & Armitage Ave,CHI01846
41.78589,-87.71057,St Louis Ave & 59th St,CHI01851
41.91771,-87.68864,Milwaukee Ave & Armitage Ave,CHI02131
41.9716,-87.650154,Marine Dr & Ainslie St,CHI00617
41.93190197,-87.70119513,Richmond St & Diversey Ave,CHI00552
41.66869635332246,-87.63711333,Major Taylor Trail & 124th St,CHI00839
41.968445,-87.674226,Ravenswood Ave & Lawrence Ave,CHI00508
41.91589,-87.67281,Wood St & Cortland St,CHI02134
41.82301524,-87.62656802,State St & Pershing Rd,CHI00491
41.961004,-87.649603,Clarendon Ave & Junior Ter,CHI00395
41.842052,-87.617,MLK Jr Dr & 29th St,CHI00386
41.895634,-87.672069,Wood St & Chicago Ave,CHI01183
41.80034,-87.73079,Kildare Ave & Archer Ave,CHI01978
41.954177,-87.664358,Southport Ave & Irving Park Rd,CHI00481
41.83427,-87.6706,Wood St & 33rd St,CHI01842
41.848193,-87.705412,Kedzie Ave & 24th St,CHI00534
41.98096,-87.76149,Lynch Ave & Elston Ave,CHI02000
41.77114,-87.73774,Knox Ave & Marquette Ave,CHI01847
41.96861,-87.76108,Milwaukee Ave & Ainslie St,CHI01942
41.83925,-87.70202,La Villita Park,CHI01794
41.794228,-87.655073,Racine Ave & Garfield Blvd,CHI01166
41.963982,-87.638181,Montrose Harbor,CHI00427
41.89858665,-87.62191523,Mies van der Rohe Way & Chestnut St,CHI00418
41.88042,-87.74108,Kenton Ave & Madison St,CHI00678
41.952372,-87.677296,Lincoln Ave & Byron St,CHI01879
41.8378,-87.65114,Morgan St & 31st St,CHI00431
41.76160543804394,-87.64416098,Halsted St & 73rd St,CHI00846
41.942722,-87.739557,Kilbourn Ave & Roscoe St,CHI01857
41.91468,-87.64332,Larrabee St & Menomonee St,CHI00262
41.83068856472101,-87.65621066,Racine Ave & 35th St,CHI00456
41.81574,-87.68489,Western Ave & 43rd St,CHI01844
41.91218,-87.66888,Marshfield Ave & Wabansia Ave,CHI02160
41.791478,-87.599861,University Ave & 57th St,CHI00551
41.89737986072316,-87.63442039,Wells St & Institute Pl,CHI01928
41.921525,-87.707322,Kedzie Ave & Palmer Ct,CHI00442
41.95434085,-87.68607962,Oakley Ave & Irving Park Rd,CHI00369
41.803038,-87.606615,Cottage Grove Ave & 51st St,CHI00502
41.699206168127674,-87.66891897,Hale Ave & 107th St,CHI00794
41.89012,-87.65251,Morgan St & Hubbard St,CHI02097
41.90192,-87.63026,Dearborn St & Maple St,CHI02124
42.0085944,-87.69049224,Western Ave & Lunt Ave,CHI00801
41.89962,-87.68194,Leavitt St & Augusta Blvd,CHI02120
41.91643342912655,-87.66674638,Elston Ave & Cortland St,CHI00259
41.7282338,-87.6675239,Prospect Sq & 91st St,CHI00740
41.94524357,-87.7066499,Troy St & Elston Ave,CHI00570
41.93314,-87.64776,Burling St & Diversey Pkwy,CHI00327
41.94766,-87.82925,Panama Ave & Grace St,CHI01891
41.89841769,-87.68659602,Western Ave & Walton St,CHI00576
42.00104378,-87.66119824,Sheridan Rd & Loyola Ave,CHI00752
41.93577461766458,-87.66360015,Southport Ave & Wellington Ave,CHI00236
41.719712183618824,-87.64301956,Halsted St & 96th St,CHI02029
41.84425,-87.70983,Homan Ave & 26th St,CHI01854
41.79906,-87.70342,Kedzie Ave & 52nd St,CHI01849
41.88481,-87.68668,Western Ave & Lake St,CHI01848
41.8849659,-87.6768354,Damen Ave & Lake St,CHI00619
41.77875,-87.73246,Kostner Ave & 63rd St,CHI01893
41.9279057,-87.7467295,Cicero Ave & Wrightwood Ave,CHI01763
41.91057803,-87.64942193,Dayton St & North Ave,CHI00240
41.978017,-87.668019,Clark St & Berwyn Ave,CHI00530
41.787878,-87.598906,University Ave & 59th St,CHI01913
41.96648,-87.78202,Melvina Ave & Giddings Ave,CHI01954
41.6538,-87.61719,Indiana Ave & 133rd St,CHI01933
41.94663583,-87.69461476,Talman Ave & Addison St,CHI00610
41.95400484,-87.71912818,Monticello Ave & Irving Park Rd,CHI00593
41.805661,-87.683392,Western Blvd & 48th Pl,CHI00735
41.95774,-87.688273,Western Ave & Berteau Ave,CHI02147
41.899181,-87.6722,Wood St & Augusta Blvd,CHI00788
41.948226,-87.6640712,Southport Ave & Waveland Ave,CHI00336
41.89238,-87.62264,St Clair St & Ohio St,CHI02143
41.64850076266409,-87.54608989,Hegewisch Metra Station,CHI00876
41.86959,-87.623961,Michigan Ave & 11th St,CHI02025
41.9021077,-87.7508698,Lavergne Ave & Division St,CHI00847
41.932418,-87.652705,Wilton Ave & Diversey Pkwy,CHI00226
